label,n_positive,n_negative,n_uncertain,median_positive,median_negative,median_uncertain,wasserstein_u_positive,wasserstein_u_negative,closer_to,relative_distance_margin,overlap_u_positive,overlap_u_negative,rank_biserial_u_vs_negative,rank_biserial_u_vs_positive,teacher_auprc,teacher_auroc,teacher_ece,teacher_brier,teacher_pn_median_separability,profile_type,strategy,confidence,reason
Atelectasis,783,162,932,0.909533679485321,0.8516556918621063,0.9215984344482422,0.017546702353470545,0.12235035400203847,positive,5.972840339873829,0.8969696720547695,0.6762173475335136,0.3590579134212897,0.08987387565158755,0.872182546372708,0.6446399571133501,0.066472353301351,0.138093217860807,0.0578779578208923,Type D,U-Ignore,low,P/N separability too low (0.058 < 0.2)
Cardiomegaly,760,325,306,0.9580183029174805,0.315096765756607,0.8532896041870117,0.11459278778897392,0.3563192608085348,positive,2.109438802245631,0.673108015135879,0.4622222222222222,0.6297637003519356,-0.36205710354317167,0.9539495341706206,0.9023076923076924,0.033721316135424,0.1132159031749738,0.6429215669631958,Type A,U-One,high,uncertain closer to positive; distance margin=2.109; effect U vs N=0.630
Consolidation,444,725,804,0.9302384555339813,0.053372174501419,0.8826645314693451,0.0867408134771466,0.5306458040779745,positive,5.117602346648299,0.7987091569181121,0.3574661176874249,0.7612832389775261,-0.16615682847026125,0.8717353535743202,0.9223454488971732,0.0482560961138396,0.1050563036769003,0.876866340637207,Type A,U-One,high,uncertain closer to positive; distance margin=5.118; effect U vs N=0.761
Edema,1024,645,416,0.9249601364135742,0.2887212336063385,0.8921490907669067,0.07370011271809045,0.3852809889997243,positive,4.227685206852515,0.8252704326923079,0.47355396541443057,0.6388789505068575,-0.15204326923076927,0.8991461415204531,0.8765367611434108,0.0652127502527402,0.1391574776514891,0.6362389326095581,Type A,U-One,high,uncertain closer to positive; distance margin=4.228; effect U vs N=0.639
Pleural Effusion,1525,911,390,0.9750714302062988,0.0505316257476806,0.8760126233100891,0.24374089175287972,0.4541308292857999,positive,0.8631704594985526,0.6361496427070199,0.4477694277913816,0.6465535196599961,-0.4484640605296343,0.952419900291324,0.9433301542171276,0.0305443138024832,0.0787729955659505,0.9245398044586182,Type A,U-One,high,uncertain closer to positive; distance margin=0.863; effect U vs N=0.647
Pneumothorax,421,1066,192,0.4563902616500854,0.1325070038437843,0.30078907310962677,0.10666341073770269,0.15856292961869373,positive,0.48657284182124816,0.6765513657957243,0.6489212007504691,0.39456300813008127,-0.24492775138558986,0.6124956380278959,0.8059565137949936,0.0362756622212399,0.1554796660709421,0.3238832652568817,Type C,U-Soft,medium,"uncertain overlaps both positive and negative (overlap U-P=0.677, U-N=0.649)"
